source,target,weight
"('CORE-BUSINESS', 'wasc accreditation standards familiarity')",wasc accreditation standards familiarity,1
"('EDU-ADV', 'commitment to affordability and inclusion')",commitment to affordability and inclusion,1
"('EDU-ADV', 'commitment to diversity, equity, and inclusion (dei)')","commitment to diversity, equity, and inclusion (dei)",1
"('EDU-ADV', 'commitment to educational innovation')",commitment to educational innovation,1
"('EDU-ADV', 'crm integrations implementation')",crm integrations implementation,1
"('EDU-ADV', 'data-driven improvements')",data-driven improvements,1
"('EDU-ADV', 'learning management systems implementation')",learning management systems implementation,1
"('EDU-ADV', 'prosci certification (preferred)')",prosci certification (preferred),1
"('EDU-ADV', 'wasc accreditation standards familiarity')",wasc accreditation standards familiarity,1
"('EXP-INDUSTRY', 'commitment to affordability and inclusion')",commitment to affordability and inclusion,1
"('EXP-INDUSTRY', 'commitment to diversity, equity, and inclusion (dei)')","commitment to diversity, equity, and inclusion (dei)",1
"('EXP-INDUSTRY', 'commitment to educational innovation')",commitment to educational innovation,1
"('EXP-INDUSTRY', 'crm integrations implementation')",crm integrations implementation,1
"('EXP-INDUSTRY', 'data-driven improvements')",data-driven improvements,1
"('EXP-INDUSTRY', 'learning management systems implementation')",learning management systems implementation,1
"('EXP-INDUSTRY', 'prosci certification (preferred)')",prosci certification (preferred),1
"('EXP-INDUSTRY', 'wasc accreditation standards familiarity')",wasc accreditation standards familiarity,1
"('EXP-PM-YRS', 'commitment to affordability and inclusion')",commitment to affordability and inclusion,1
"('EXP-PM-YRS', 'commitment to diversity, equity, and inclusion (dei)')","commitment to diversity, equity, and inclusion (dei)",1
"('EXP-PM-YRS', 'commitment to educational innovation')",commitment to educational innovation,1
"('EXP-PM-YRS', 'crm integrations implementation')",crm integrations implementation,1
"('EXP-PM-YRS', 'data-driven improvements')",data-driven improvements,1
"('EXP-PM-YRS', 'learning management systems implementation')",learning management systems implementation,1
"('EXP-PM-YRS', 'prosci certification (preferred)')",prosci certification (preferred),1
"('EXP-PM-YRS', 'wasc accreditation standards familiarity')",wasc accreditation standards familiarity,1
"('EXP_ROLE', 'commitment to affordability and inclusion')",commitment to affordability and inclusion,1
"('EXP_ROLE', 'commitment to diversity, equity, and inclusion (dei)')","commitment to diversity, equity, and inclusion (dei)",1
"('EXP_ROLE', 'commitment to educational innovation')",commitment to educational innovation,1
"('EXP_ROLE', 'crm integrations implementation')",crm integrations implementation,1
"('EXP_ROLE', 'data-driven improvements')",data-driven improvements,1
"('EXP_ROLE', 'learning management systems implementation')",learning management systems implementation,1
"('EXP_ROLE', 'prosci certification (preferred)')",prosci certification (preferred),1
"('EXP_ROLE', 'wasc accreditation standards familiarity')",wasc accreditation standards familiarity,1
"('PM-BUDGET', 'commitment to affordability and inclusion')",commitment to affordability and inclusion,1
"('PM-BUDGET', 'commitment to diversity, equity, and inclusion (dei)')","commitment to diversity, equity, and inclusion (dei)",1
"('PM-BUDGET', 'commitment to educational innovation')",commitment to educational innovation,1
"('PM-BUDGET', 'crm integrations implementation')",crm integrations implementation,1
"('PM-BUDGET', 'data-driven improvements')",data-driven improvements,1
"('PM-BUDGET', 'learning management systems implementation')",learning management systems implementation,1
"('PM-BUDGET', 'prosci certification (preferred)')",prosci certification (preferred),1
"('PM-BUDGET', 'wasc accreditation standards familiarity')",wasc accreditation standards familiarity,1
"('PM-METHOD', 'commitment to affordability and inclusion')",commitment to affordability and inclusion,1
"('PM-METHOD', 'commitment to diversity, equity, and inclusion (dei)')","commitment to diversity, equity, and inclusion (dei)",1
"('PM-METHOD', 'commitment to educational innovation')",commitment to educational innovation,1
"('PM-METHOD', 'crm integrations implementation')",crm integrations implementation,1
"('PM-METHOD', 'data-driven improvements')",data-driven improvements,1
"('PM-METHOD', 'learning management systems implementation')",learning management systems implementation,1
"('PM-METHOD', 'prosci certification (preferred)')",prosci certification (preferred),1
"('PM-METHOD', 'wasc accreditation standards familiarity')",wasc accreditation standards familiarity,1
"('PM-PLAN', 'commitment to affordability and inclusion')",commitment to affordability and inclusion,1
"('PM-PLAN', 'commitment to diversity, equity, and inclusion (dei)')","commitment to diversity, equity, and inclusion (dei)",1
"('PM-PLAN', 'commitment to educational innovation')",commitment to educational innovation,1
"('PM-PLAN', 'crm integrations implementation')",crm integrations implementation,1
"('PM-PLAN', 'data-driven improvements')",data-driven improvements,1
"('PM-PLAN', 'learning management systems implementation')",learning management systems implementation,1
"('PM-PLAN', 'prosci certification (preferred)')",prosci certification (preferred),1
"('PM-PLAN', 'wasc accreditation standards familiarity')",wasc accreditation standards familiarity,1
"('PM-RISK', 'commitment to affordability and inclusion')",commitment to affordability and inclusion,1
"('PM-RISK', 'commitment to diversity, equity, and inclusion (dei)')","commitment to diversity, equity, and inclusion (dei)",1
"('PM-RISK', 'commitment to educational innovation')",commitment to educational innovation,1
"('PM-RISK', 'crm integrations implementation')",crm integrations implementation,1
"('PM-RISK', 'data-driven improvements')",data-driven improvements,1
"('PM-RISK', 'learning management systems implementation')",learning management systems implementation,1
"('PM-RISK', 'prosci certification (preferred)')",prosci certification (preferred),1
"('PM-RISK', 'wasc accreditation standards familiarity')",wasc accreditation standards familiarity,1
"('PM-TOOL', 'commitment to affordability and inclusion')",commitment to affordability and inclusion,1
"('PM-TOOL', 'commitment to diversity, equity, and inclusion (dei)')","commitment to diversity, equity, and inclusion (dei)",1
"('PM-TOOL', 'commitment to educational innovation')",commitment to educational innovation,1
"('PM-TOOL', 'crm integrations implementation')",crm integrations implementation,1
"('PM-TOOL', 'data-driven improvements')",data-driven improvements,1
"('PM-TOOL', 'learning management systems implementation')",learning management systems implementation,1
"('PM-TOOL', 'prosci certification (preferred)')",prosci certification (preferred),1
"('PM-TOOL', 'wasc accreditation standards familiarity')",wasc accreditation standards familiarity,1
"('QUAL-PREF', 'commitment to affordability and inclusion')",commitment to affordability and inclusion,1
"('QUAL-PREF', 'commitment to diversity, equity, and inclusion (dei)')","commitment to diversity, equity, and inclusion (dei)",1
"('QUAL-PREF', 'commitment to educational innovation')",commitment to educational innovation,1
"('QUAL-PREF', 'crm integrations implementation')",crm integrations implementation,1
"('QUAL-PREF', 'data-driven improvements')",data-driven improvements,1
"('QUAL-PREF', 'learning management systems implementation')",learning management systems implementation,1
"('QUAL-PREF', 'prosci certification (preferred)')",prosci certification (preferred),1
"('QUAL-PREF', 'wasc accreditation standards familiarity')",wasc accreditation standards familiarity,1
"('SS-CONFLICT', 'commitment to affordability and inclusion')",commitment to affordability and inclusion,1
"('SS-CONFLICT', 'commitment to diversity, equity, and inclusion (dei)')","commitment to diversity, equity, and inclusion (dei)",1
"('SS-CONFLICT', 'commitment to educational innovation')",commitment to educational innovation,1
"('SS-CONFLICT', 'crm integrations implementation')",crm integrations implementation,1
"('SS-CONFLICT', 'data-driven improvements')",data-driven improvements,1
"('SS-CONFLICT', 'learning management systems implementation')",learning management systems implementation,1
"('SS-CONFLICT', 'prosci certification (preferred)')",prosci certification (preferred),1
"('SS-CONFLICT', 'wasc accreditation standards familiarity')",wasc accreditation standards familiarity,1
"('SS-LEADERSHIP', 'commitment to affordability and inclusion')",commitment to affordability and inclusion,1
"('SS-LEADERSHIP', 'commitment to diversity, equity, and inclusion (dei)')","commitment to diversity, equity, and inclusion (dei)",1
"('SS-LEADERSHIP', 'commitment to educational innovation')",commitment to educational innovation,1
"('SS-LEADERSHIP', 'crm integrations implementation')",crm integrations implementation,1
"('SS-LEADERSHIP', 'data-driven improvements')",data-driven improvements,1
"('SS-LEADERSHIP', 'learning management systems implementation')",learning management systems implementation,1
"('SS-LEADERSHIP', 'prosci certification (preferred)')",prosci certification (preferred),1
"('SS-LEADERSHIP', 'wasc accreditation standards familiarity')",wasc accreditation standards familiarity,1
"('SS-STAKEHOLDER', 'commitment to affordability and inclusion')",commitment to affordability and inclusion,1
"('SS-STAKEHOLDER', 'commitment to diversity, equity, and inclusion (dei)')","commitment to diversity, equity, and inclusion (dei)",1
"('SS-STAKEHOLDER', 'commitment to educational innovation')",commitment to educational innovation,1
"('SS-STAKEHOLDER', 'crm integrations implementation')",crm integrations implementation,1
"('SS-STAKEHOLDER', 'data-driven improvements')",data-driven improvements,1
"('SS-STAKEHOLDER', 'learning management systems implementation')",learning management systems implementation,1
"('SS-STAKEHOLDER', 'prosci certification (preferred)')",prosci certification (preferred),1
"('SS-STAKEHOLDER', 'wasc accreditation standards familiarity')",wasc accreditation standards familiarity,1
"('TECH-CONCEPT', 'commitment to affordability and inclusion')",commitment to affordability and inclusion,1
"('TECH-CONCEPT', 'commitment to diversity, equity, and inclusion (dei)')","commitment to diversity, equity, and inclusion (dei)",1
"('TECH-CONCEPT', 'commitment to educational innovation')",commitment to educational innovation,1
"('TECH-CONCEPT', 'crm integrations implementation')",crm integrations implementation,1
"('TECH-CONCEPT', 'data-driven improvements')",data-driven improvements,1
"('TECH-CONCEPT', 'learning management systems implementation')",learning management systems implementation,1
"('TECH-CONCEPT', 'prosci certification (preferred)')",prosci certification (preferred),1
"('TECH-CONCEPT', 'wasc accreditation standards familiarity')",wasc accreditation standards familiarity,1
"('TECH-HANDSON', 'commitment to affordability and inclusion')",commitment to affordability and inclusion,1
"('TECH-HANDSON', 'commitment to diversity, equity, and inclusion (dei)')","commitment to diversity, equity, and inclusion (dei)",1
"('TECH-HANDSON', 'commitment to educational innovation')",commitment to educational innovation,1
"('TECH-HANDSON', 'crm integrations implementation')",crm integrations implementation,1
"('TECH-HANDSON', 'data-driven improvements')",data-driven improvements,1
"('TECH-HANDSON', 'learning management systems implementation')",learning management systems implementation,1
"('TECH-HANDSON', 'prosci certification (preferred)')",prosci certification (preferred),1
"('TECH-HANDSON', 'wasc accreditation standards familiarity')",wasc accreditation standards familiarity,1
"('commitment to affordability and inclusion', 'commitment to diversity, equity, and inclusion (dei)')","commitment to diversity, equity, and inclusion (dei)",1
"('commitment to affordability and inclusion', 'commitment to educational innovation')",commitment to educational innovation,1
"('commitment to affordability and inclusion', 'crm integrations implementation')",crm integrations implementation,1
"('commitment to affordability and inclusion', 'data-driven improvements')",data-driven improvements,1
"('commitment to affordability and inclusion', 'learning management systems implementation')",learning management systems implementation,1
"('commitment to affordability and inclusion', 'organizational skills')",organizational skills,1
"('commitment to affordability and inclusion', 'prosci certification (preferred)')",prosci certification (preferred),1
"('commitment to affordability and inclusion', 'wasc accreditation standards familiarity')",wasc accreditation standards familiarity,1
"('commitment to diversity, equity, and inclusion (dei)', 'commitment to educational innovation')",commitment to educational innovation,1
"('commitment to diversity, equity, and inclusion (dei)', 'crm integrations implementation')",crm integrations implementation,1
"('commitment to diversity, equity, and inclusion (dei)', 'data-driven improvements')",data-driven improvements,1
"('commitment to diversity, equity, and inclusion (dei)', 'learning management systems implementation')",learning management systems implementation,1
"('commitment to diversity, equity, and inclusion (dei)', 'organizational skills')",organizational skills,1
"('commitment to diversity, equity, and inclusion (dei)', 'prosci certification (preferred)')",prosci certification (preferred),1
"('commitment to diversity, equity, and inclusion (dei)', 'wasc accreditation standards familiarity')",wasc accreditation standards familiarity,1
"('commitment to educational innovation', 'crm integrations implementation')",crm integrations implementation,1
"('commitment to educational innovation', 'data-driven improvements')",data-driven improvements,1
"('commitment to educational innovation', 'learning management systems implementation')",learning management systems implementation,1
"('commitment to educational innovation', 'organizational skills')",organizational skills,1
"('commitment to educational innovation', 'prosci certification (preferred)')",prosci certification (preferred),1
"('commitment to educational innovation', 'wasc accreditation standards familiarity')",wasc accreditation standards familiarity,1
"('crm integrations implementation', 'data-driven improvements')",data-driven improvements,1
"('crm integrations implementation', 'learning management systems implementation')",learning management systems implementation,1
"('crm integrations implementation', 'organizational skills')",organizational skills,1
"('crm integrations implementation', 'prosci certification (preferred)')",prosci certification (preferred),1
"('crm integrations implementation', 'wasc accreditation standards familiarity')",wasc accreditation standards familiarity,1
"('data-driven improvements', 'learning management systems implementation')",learning management systems implementation,1
"('data-driven improvements', 'organizational skills')",organizational skills,1
"('data-driven improvements', 'prosci certification (preferred)')",prosci certification (preferred),1
"('data-driven improvements', 'wasc accreditation standards familiarity')",wasc accreditation standards familiarity,1
"('learning management systems implementation', 'organizational skills')",organizational skills,1
"('learning management systems implementation', 'prosci certification (preferred)')",prosci certification (preferred),1
"('learning management systems implementation', 'wasc accreditation standards familiarity')",wasc accreditation standards familiarity,1
"('organizational skills', 'prosci certification (preferred)')",prosci certification (preferred),1
"('organizational skills', 'wasc accreditation standards familiarity')",wasc accreditation standards familiarity,1
"('prosci certification (preferred)', 'wasc accreditation standards familiarity')",wasc accreditation standards familiarity,1
"('40 hours per week', 'CERT-PM')",CERT-PM,1
"('40 hours per week', 'CONTEXT-COMPLEX')",CONTEXT-COMPLEX,1
"('40 hours per week', 'CONTEXT-ETHIC')",CONTEXT-ETHIC,1
"('40 hours per week', 'CONTEXT-REG')",CONTEXT-REG,1
"('40 hours per week', 'CORE-ADAPT')",CORE-ADAPT,1
"('40 hours per week', 'EXP-AI-YRS')",EXP-AI-YRS,1
"('40 hours per week', 'EXP-INDUSTRY')",EXP-INDUSTRY,1
"('40 hours per week', 'EXP-PM-YRS')",EXP-PM-YRS,1
"('40 hours per week', 'EXP_ROLE')",EXP_ROLE,1
"('40 hours per week', 'PM-BUDGET')",PM-BUDGET,1
"('40 hours per week', 'PM-METHOD')",PM-METHOD,1
"('40 hours per week', 'PM-PLAN')",PM-PLAN,1
"('40 hours per week', 'PM-RISK')",PM-RISK,1
"('40 hours per week', 'PM-TOOL')",PM-TOOL,1
"('40 hours per week', 'SS-LEADERSHIP')",SS-LEADERSHIP,1
"('40 hours per week', 'SS-STAKEHOLDER')",SS-STAKEHOLDER,1
"('40 hours per week', 'TECH-CONCEPT')",TECH-CONCEPT,1
"('40 hours per week', 'TECH-HANDSON')",TECH-HANDSON,1
"('40 hours per week', 'TECH-OPS')",TECH-OPS,1
"('40 hours per week', 'bss/oss knowledge')",bss/oss knowledge,1
"('40 hours per week', 'contract job type')",contract job type,1
"('40 hours per week', 'customer service domain')",customer service domain,1
"('40 hours per week', 'network operations knowledge')",network operations knowledge,1
"('40 hours per week', 'telecom domain expertise')",telecom domain expertise,1
"('40 hours per week', 'work location onsite')",work location onsite,1
"('CERT-PM', 'bss/oss knowledge')",bss/oss knowledge,1
"('CERT-PM', 'contract job type')",contract job type,1
"('CERT-PM', 'customer service domain')",customer service domain,1
"('CERT-PM', 'network operations knowledge')",network operations knowledge,1
"('CERT-PM', 'telecom domain expertise')",telecom domain expertise,1
"('CERT-PM', 'work location onsite')",work location onsite,1
"('CONTEXT-COMPLEX', 'bss/oss knowledge')",bss/oss knowledge,1
"('CONTEXT-COMPLEX', 'contract job type')",contract job type,1
"('CONTEXT-COMPLEX', 'customer service domain')",customer service domain,1
"('CONTEXT-COMPLEX', 'network operations knowledge')",network operations knowledge,1
"('CONTEXT-COMPLEX', 'telecom domain expertise')",telecom domain expertise,1
"('CONTEXT-COMPLEX', 'work location onsite')",work location onsite,1
"('CONTEXT-ETHIC', 'bss/oss knowledge')",bss/oss knowledge,1
"('CONTEXT-ETHIC', 'contract job type')",contract job type,1
"('CONTEXT-ETHIC', 'customer service domain')",customer service domain,1
"('CONTEXT-ETHIC', 'network operations knowledge')",network operations knowledge,1
"('CONTEXT-ETHIC', 'telecom domain expertise')",telecom domain expertise,1
"('CONTEXT-ETHIC', 'work location onsite')",work location onsite,1
"('CONTEXT-REG', 'bss/oss knowledge')",bss/oss knowledge,1
"('CONTEXT-REG', 'contract job type')",contract job type,1
"('CONTEXT-REG', 'customer service domain')",customer service domain,1
"('CONTEXT-REG', 'network operations knowledge')",network operations knowledge,1
"('CONTEXT-REG', 'telecom domain expertise')",telecom domain expertise,1
"('CONTEXT-REG', 'work location onsite')",work location onsite,1
"('CORE-ADAPT', 'bss/oss knowledge')",bss/oss knowledge,1
"('CORE-ADAPT', 'contract job type')",contract job type,1
"('CORE-ADAPT', 'customer service domain')",customer service domain,1
"('CORE-ADAPT', 'network operations knowledge')",network operations knowledge,1
"('CORE-ADAPT', 'telecom domain expertise')",telecom domain expertise,1
"('CORE-ADAPT', 'work location onsite')",work location onsite,1
"('EXP-AI-YRS', 'bss/oss knowledge')",bss/oss knowledge,1
"('EXP-AI-YRS', 'contract job type')",contract job type,1
"('EXP-AI-YRS', 'customer service domain')",customer service domain,1
"('EXP-AI-YRS', 'network operations knowledge')",network operations knowledge,1
"('EXP-AI-YRS', 'telecom domain expertise')",telecom domain expertise,1
"('EXP-AI-YRS', 'work location onsite')",work location onsite,1
"('EXP-INDUSTRY', 'bss/oss knowledge')",bss/oss knowledge,1
"('EXP-INDUSTRY', 'contract job type')",contract job type,1
"('EXP-INDUSTRY', 'customer service domain')",customer service domain,1
"('EXP-INDUSTRY', 'network operations knowledge')",network operations knowledge,1
"('EXP-INDUSTRY', 'telecom domain expertise')",telecom domain expertise,1
"('EXP-INDUSTRY', 'work location onsite')",work location onsite,1
"('EXP-PM-YRS', 'bss/oss knowledge')",bss/oss knowledge,1
"('EXP-PM-YRS', 'contract job type')",contract job type,1
"('EXP-PM-YRS', 'customer service domain')",customer service domain,1
"('EXP-PM-YRS', 'network operations knowledge')",network operations knowledge,1
"('EXP-PM-YRS', 'telecom domain expertise')",telecom domain expertise,1
"('EXP-PM-YRS', 'work location onsite')",work location onsite,1
"('EXP_ROLE', 'bss/oss knowledge')",bss/oss knowledge,1
"('EXP_ROLE', 'contract job type')",contract job type,1
"('EXP_ROLE', 'customer service domain')",customer service domain,1
"('EXP_ROLE', 'network operations knowledge')",network operations knowledge,1
"('EXP_ROLE', 'telecom domain expertise')",telecom domain expertise,1
"('EXP_ROLE', 'work location onsite')",work location onsite,1
"('PM-BUDGET', 'bss/oss knowledge')",bss/oss knowledge,1
"('PM-BUDGET', 'contract job type')",contract job type,1
"('PM-BUDGET', 'customer service domain')",customer service domain,1
"('PM-BUDGET', 'network operations knowledge')",network operations knowledge,1
"('PM-BUDGET', 'telecom domain expertise')",telecom domain expertise,1
"('PM-BUDGET', 'work location onsite')",work location onsite,1
"('PM-METHOD', 'bss/oss knowledge')",bss/oss knowledge,1
"('PM-METHOD', 'contract job type')",contract job type,1
"('PM-METHOD', 'customer service domain')",customer service domain,1
"('PM-METHOD', 'network operations knowledge')",network operations knowledge,1
"('PM-METHOD', 'telecom domain expertise')",telecom domain expertise,1
"('PM-METHOD', 'work location onsite')",work location onsite,1
"('PM-PLAN', 'bss/oss knowledge')",bss/oss knowledge,1
"('PM-PLAN', 'contract job type')",contract job type,1
"('PM-PLAN', 'customer service domain')",customer service domain,1
"('PM-PLAN', 'network operations knowledge')",network operations knowledge,1
"('PM-PLAN', 'telecom domain expertise')",telecom domain expertise,1
"('PM-PLAN', 'work location onsite')",work location onsite,1
"('PM-RISK', 'bss/oss knowledge')",bss/oss knowledge,1
"('PM-RISK', 'contract job type')",contract job type,1
"('PM-RISK', 'customer service domain')",customer service domain,1
"('PM-RISK', 'network operations knowledge')",network operations knowledge,1
"('PM-RISK', 'telecom domain expertise')",telecom domain expertise,1
"('PM-RISK', 'work location onsite')",work location onsite,1
"('PM-TOOL', 'bss/oss knowledge')",bss/oss knowledge,1
"('PM-TOOL', 'contract job type')",contract job type,1
"('PM-TOOL', 'customer service domain')",customer service domain,1
"('PM-TOOL', 'network operations knowledge')",network operations knowledge,1
"('PM-TOOL', 'telecom domain expertise')",telecom domain expertise,1
"('PM-TOOL', 'work location onsite')",work location onsite,1
"('SS-LEADERSHIP', 'bss/oss knowledge')",bss/oss knowledge,1
"('SS-LEADERSHIP', 'contract job type')",contract job type,1
"('SS-LEADERSHIP', 'customer service domain')",customer service domain,1
"('SS-LEADERSHIP', 'network operations knowledge')",network operations knowledge,1
"('SS-LEADERSHIP', 'telecom domain expertise')",telecom domain expertise,1
"('SS-LEADERSHIP', 'work location onsite')",work location onsite,1
"('SS-STAKEHOLDER', 'bss/oss knowledge')",bss/oss knowledge,1
"('SS-STAKEHOLDER', 'contract job type')",contract job type,1
"('SS-STAKEHOLDER', 'customer service domain')",customer service domain,1
"('SS-STAKEHOLDER', 'network operations knowledge')",network operations knowledge,1
"('SS-STAKEHOLDER', 'telecom domain expertise')",telecom domain expertise,1
"('SS-STAKEHOLDER', 'work location onsite')",work location onsite,1
"('TECH-CONCEPT', 'bss/oss knowledge')",bss/oss knowledge,1
"('TECH-CONCEPT', 'contract job type')",contract job type,1
"('TECH-CONCEPT', 'customer service domain')",customer service domain,1
"('TECH-CONCEPT', 'network operations knowledge')",network operations knowledge,1
"('TECH-CONCEPT', 'telecom domain expertise')",telecom domain expertise,1
"('TECH-CONCEPT', 'work location onsite')",work location onsite,1
"('TECH-HANDSON', 'bss/oss knowledge')",bss/oss knowledge,1
"('TECH-HANDSON', 'contract job type')",contract job type,1
"('TECH-HANDSON', 'customer service domain')",customer service domain,1
"('TECH-HANDSON', 'network operations knowledge')",network operations knowledge,1
"('TECH-HANDSON', 'telecom domain expertise')",telecom domain expertise,1
"('TECH-HANDSON', 'work location onsite')",work location onsite,1
"('TECH-OPS', 'bss/oss knowledge')",bss/oss knowledge,1
"('TECH-OPS', 'contract job type')",contract job type,1
"('TECH-OPS', 'customer service domain')",customer service domain,1
"('TECH-OPS', 'network operations knowledge')",network operations knowledge,1
"('TECH-OPS', 'telecom domain expertise')",telecom domain expertise,1
"('TECH-OPS', 'work location onsite')",work location onsite,1
"('bss/oss knowledge', 'contract job type')",contract job type,1
"('bss/oss knowledge', 'customer service domain')",customer service domain,1
"('bss/oss knowledge', 'network operations knowledge')",network operations knowledge,1
"('bss/oss knowledge', 'telecom domain expertise')",telecom domain expertise,1
"('bss/oss knowledge', 'work location onsite')",work location onsite,1
"('contract job type', 'customer service domain')",customer service domain,1
"('contract job type', 'network operations knowledge')",network operations knowledge,1
"('contract job type', 'telecom domain expertise')",telecom domain expertise,1
"('contract job type', 'work location onsite')",work location onsite,1
"('customer service domain', 'network operations knowledge')",network operations knowledge,1
"('customer service domain', 'telecom domain expertise')",telecom domain expertise,1
"('customer service domain', 'work location onsite')",work location onsite,1
"('network operations knowledge', 'telecom domain expertise')",telecom domain expertise,1
"('network operations knowledge', 'work location onsite')",work location onsite,1
"('telecom domain expertise', 'work location onsite')",work location onsite,1
"('CONTEXT-COMPLEX', 'demonstrate company’s core competencies and values')",demonstrate company’s core competencies and values,1
"('CONTEXT-COMPLEX', 'healthcare')",healthcare,1
"('CONTEXT-COMPLEX', 'proven ability to manage multiple initiatives')",proven ability to manage multiple initiatives,1
"('CONTEXT-REG', 'demonstrate company’s core competencies and values')",demonstrate company’s core competencies and values,1
"('CONTEXT-REG', 'healthcare')",healthcare,1
"('CONTEXT-REG', 'proven ability to manage multiple initiatives')",proven ability to manage multiple initiatives,1
"('CORE-ADAPT', 'demonstrate company’s core competencies and values')",demonstrate company’s core competencies and values,1
"('CORE-ADAPT', 'healthcare')",healthcare,1
"('CORE-ADAPT', 'proven ability to manage multiple initiatives')",proven ability to manage multiple initiatives,1
"('CORE-BUSINESS', 'demonstrate company’s core competencies and values')",demonstrate company’s core competencies and values,1
"('CORE-BUSINESS', 'healthcare')",healthcare,1
"('CORE-BUSINESS', 'proven ability to manage multiple initiatives')",proven ability to manage multiple initiatives,1
"('EXP_ROLE', 'demonstrate company’s core competencies and values')",demonstrate company’s core competencies and values,1
"('EXP_ROLE', 'healthcare')",healthcare,1
"('EXP_ROLE', 'proven ability to manage multiple initiatives')",proven ability to manage multiple initiatives,1
"('PM-METHOD', 'demonstrate company’s core competencies and values')",demonstrate company’s core competencies and values,1
"('PM-METHOD', 'healthcare')",healthcare,1
"('PM-METHOD', 'proven ability to manage multiple initiatives')",proven ability to manage multiple initiatives,1
"('PM-PLAN', 'demonstrate company’s core competencies and values')",demonstrate company’s core competencies and values,1
"('PM-PLAN', 'healthcare')",healthcare,1
"('PM-PLAN', 'proven ability to manage multiple initiatives')",proven ability to manage multiple initiatives,1
"('PM-RISK', 'demonstrate company’s core competencies and values')",demonstrate company’s core competencies and values,1
"('PM-RISK', 'healthcare')",healthcare,1
"('PM-RISK', 'proven ability to manage multiple initiatives')",proven ability to manage multiple initiatives,1
"('SS-LEADERSHIP', 'demonstrate company’s core competencies and values')",demonstrate company’s core competencies and values,1
"('SS-LEADERSHIP', 'healthcare')",healthcare,1
"('SS-LEADERSHIP', 'proven ability to manage multiple initiatives')",proven ability to manage multiple initiatives,1
"('SS-STAKEHOLDER', 'demonstrate company’s core competencies and values')",demonstrate company’s core competencies and values,1
"('SS-STAKEHOLDER', 'healthcare')",healthcare,1
"('SS-STAKEHOLDER', 'proven ability to manage multiple initiatives')",proven ability to manage multiple initiatives,1
"('TECH-CONCEPT', 'demonstrate company’s core competencies and values')",demonstrate company’s core competencies and values,1
"('TECH-CONCEPT', 'healthcare')",healthcare,1
"('TECH-CONCEPT', 'proven ability to manage multiple initiatives')",proven ability to manage multiple initiatives,1
"('TECH-OPS', 'demonstrate company’s core competencies and values')",demonstrate company’s core competencies and values,1
"('TECH-OPS', 'healthcare')",healthcare,1
"('TECH-OPS', 'proven ability to manage multiple initiatives')",proven ability to manage multiple initiatives,1
"('demonstrate company’s core competencies and values', 'healthcare')",healthcare,1
"('demonstrate company’s core competencies and values', 'proven ability to manage multiple initiatives')",proven ability to manage multiple initiatives,1
"('demonstrate company’s core competencies and values', 'strong technical acumen')",strong technical acumen,1
"('healthcare', 'proven ability to manage multiple initiatives')",proven ability to manage multiple initiatives,1
"('healthcare', 'strong technical acumen')",strong technical acumen,1
"('proven ability to manage multiple initiatives', 'strong technical acumen')",strong technical acumen,1
"('CONTEXT-COMPLEX', 'create playbooks')",create playbooks,1
"('CONTEXT-COMPLEX', 'gaming technology/interactive entertainment')",gaming technology/interactive entertainment,1
"('CONTEXT-COMPLEX', 'marketing collaboration')",marketing collaboration,1
"('CONTEXT-COMPLEX', 'post-launch support')",post-launch support,1
"('CONTEXT-COMPLEX', 'strong technical fluency')",strong technical fluency,1
"('CONTEXT-COMPLEX', 'user feedback loops')",user feedback loops,1
"('CONTEXT-ETHIC', 'create playbooks')",create playbooks,1
"('CONTEXT-ETHIC', 'gaming technology/interactive entertainment')",gaming technology/interactive entertainment,1
"('CONTEXT-ETHIC', 'marketing collaboration')",marketing collaboration,1
"('CONTEXT-ETHIC', 'post-launch support')",post-launch support,1
"('CONTEXT-ETHIC', 'strong technical fluency')",strong technical fluency,1
"('CONTEXT-ETHIC', 'user feedback loops')",user feedback loops,1
"('CORE-ADAPT', 'create playbooks')",create playbooks,1
"('CORE-ADAPT', 'gaming technology/interactive entertainment')",gaming technology/interactive entertainment,1
"('CORE-ADAPT', 'marketing collaboration')",marketing collaboration,1
"('CORE-ADAPT', 'post-launch support')",post-launch support,1
"('CORE-ADAPT', 'strong technical fluency')",strong technical fluency,1
"('CORE-ADAPT', 'user feedback loops')",user feedback loops,1
"('CORE-BUSINESS', 'create playbooks')",create playbooks,1
"('CORE-BUSINESS', 'gaming technology/interactive entertainment')",gaming technology/interactive entertainment,1
"('CORE-BUSINESS', 'marketing collaboration')",marketing collaboration,1
"('CORE-BUSINESS', 'post-launch support')",post-launch support,1
"('CORE-BUSINESS', 'strong technical fluency')",strong technical fluency,1
"('CORE-BUSINESS', 'user feedback loops')",user feedback loops,1
"('EXP-INDUSTRY', 'create playbooks')",create playbooks,1
"('EXP-INDUSTRY', 'gaming technology/interactive entertainment')",gaming technology/interactive entertainment,1
"('EXP-INDUSTRY', 'marketing collaboration')",marketing collaboration,1
"('EXP-INDUSTRY', 'post-launch support')",post-launch support,1
"('EXP-INDUSTRY', 'strong technical fluency')",strong technical fluency,1
"('EXP-INDUSTRY', 'user feedback loops')",user feedback loops,1
"('EXP-PM-YRS', 'create playbooks')",create playbooks,1
"('EXP-PM-YRS', 'gaming technology/interactive entertainment')",gaming technology/interactive entertainment,1
